,Ave action,Ave reward,Var reward
1,0.08651385,-2254.735000000015,16472169.605900222
2,0.14564882,4509.47000000003,65888678.42360085
3,-0.042851493,-12946.726000000053,189360238.3895173
4,0.21147051,-13796.599849999999,85938264.20091595
5,-0.23361419,5807.245449999988,22379620.048978478
6,0.3438627,6583.184450000001,21021701.006921448
7,0.051087543,-12349.392700000026,76353942.6691528
8,0.1253614,-6027.251750000054,16159406.288616737
9,-0.042571414,-9268.324474999885,118232642.13858378
10,0.06395148,-16733.027449999994,199808795.72692856
11,-0.21103871,10343.771825000033,84901406.20889156
12,-0.1303306,43420.03549999994,2222440535.1832166
13,0.084232375,15237.914224999986,244888133.24355933
14,-0.36045498,5713.351275000023,93829480.38828816
15,-0.046429344,-15456.208650000102,383482055.61165124
16,0.01740472,13838.985200000054,258838311.35059616
17,0.1827159,-523.4271750000189,6429678.507262409
18,-0.24326098,61.60087500003283,14853.607898060442
19,0.23924908,-19329.08925000005,181518525.8195109
20,-0.1483765,6821.301500000001,21306120.93165424
21,-0.11175969,-10279.771599999978,113373822.1382807
22,-0.10515556,-3905.415975000011,47949700.02188041
23,0.28834513,85498.2670749999,3653730722.3362255
24,-0.08964279,67017.58627499998,2073324889.0920448
25,-0.13204333,4763.521200000076,19915862.27199922
26,-0.12868671,74865.576325,5016060362.199766
27,-0.025813527,39827.35682500005,1517681737.4778042
28,-0.14351685,-70514.29787500002,6389196251.057284
29,0.13288619,5205.61605000007,24817623.33612593
